chip_name,source_file,template_id,parameter_name,parameter_value,status,extracted_by,confidence,confidence_reason,source_pages,source_quote
UPF5337,202307UPF5337 datasheet V1.1.pdf,wifi,RF Type,802.11ax / ac / n / b / g,needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
UPF5337,202307UPF5337 datasheet V1.1.pdf,wifi,Frequency Coverage,2.4 GHz to 2.5 GHz,needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
UPF5337,202307UPF5337 datasheet V1.1.pdf,wifi,RX Gain / Noise Figure / Bypass Loss,12 dB (Gain) / 2.0 dB (NF) / -6.0 dB (Bypass Loss),needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
UPF5337,202307UPF5337 datasheet V1.1.pdf,wifi,Control Mode / Truth Table,"PAEN, Ctrl0, Ctrl1 (3-pin control)",needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
UPF5337,202307UPF5337 datasheet V1.1.pdf,wifi,Supply Voltage,4.5 V to 5.5 V (Nominal 5.0V),needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
UPF5337,202307UPF5337 datasheet V1.1.pdf,wifi,Package / Case,"16-pad QFN, 3mm x 3mm x 0.7mm",needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
UPF5337,202307UPF5337 datasheet V1.1.pdf,wifi,TX Linear Output Power,20.0 dBm @ -43dB DEVM,needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
UPF5337,202307UPF5337 datasheet V1.1.pdf,wifi,EVM / ACLR Condition,"HE40 MCS11 (-43dB DEVM), VHT40 MCS9 (-35dB DEVM)",needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
UPF5755,202307UPF5755 datasheet V1.2.pdf,cellular-3g4g5g,Supported bands,5.15GHz - 5.85GHz,needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
UPF5755,202307UPF5755 datasheet V1.2.pdf,cellular-3g4g5g,Bandwidth Capability,160MHz (HE160),needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
UPF5755,202307UPF5755 datasheet V1.2.pdf,cellular-3g4g5g,Maximum Linear Output Power,17dBm (HE160) / 21dBm (VHT80),needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
UPF5755,202307UPF5755 datasheet V1.2.pdf,cellular-3g4g5g,ACLR / EVM Condition,-43dB DEVM (MCS11) / -35dB DEVM (MCS9),needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
UPF5755,202307UPF5755 datasheet V1.2.pdf,cellular-3g4g5g,RFFE bus,"Discrete 3-line Control (PAEN, Ctrl0, Ctrl1)",needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
UPF5755,202307UPF5755 datasheet V1.2.pdf,cellular-3g4g5g,Current Consumption,490mA (Max TX) / 25mA (RX),needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
UPF5755,202307UPF5755 datasheet V1.2.pdf,cellular-3g4g5g,VCC / Supply,4.75V - 5.25V (5.0V Typ.),needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
UPF5755,202307UPF5755 datasheet V1.2.pdf,cellular-3g4g5g,Package,"LGA 16-pin, 3mm x 3mm x 0.55mm",needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
RF7459A,case2-RF7459A_Product_Data_Sheet.pdf,cellular-3g4g5g,Supported bands,"GSM/EDGE Quad-band; UMTS/HSPA+/LTE Bands 1, 2, 3, 4, 5, 8, 9, 10, 18, 19, 20, 25, 26, 33, 34, 35, 36, 37, 39",needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
RF7459A,case2-RF7459A_Product_Data_Sheet.pdf,cellular-3g4g5g,Bandwidth Capability,Up to 20MHz,needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
RF7459A,case2-RF7459A_Product_Data_Sheet.pdf,cellular-3g4g5g,Maximum Linear Output Power,"+27.25 dBm (LTE HPM), +28.5 dBm (UMTS Rel99)",needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
RF7459A,case2-RF7459A_Product_Data_Sheet.pdf,cellular-3g4g5g,ACLR / EVM Condition,"ACLR E-UTRA: -40dBc @27.25dBm; EVM: 2.5% (LTE QPSK, 10MHz, 12RB)",needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
RF7459A,case2-RF7459A_Product_Data_Sheet.pdf,cellular-3g4g5g,RFFE bus,MIPI RFFE 2.0 (up to 26MHz),needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
RF7459A,case2-RF7459A_Product_Data_Sheet.pdf,cellular-3g4g5g,Current Consumption,"468mA (LTE Band 1, HPM, 27.25dBm, VCC=3.4V)",needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
RF7459A,case2-RF7459A_Product_Data_Sheet.pdf,cellular-3g4g5g,VCC / Supply,VBATT: 3.0V-4.5V; VCC: 0.5V-4.5V (APT supported),needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
RF7459A,case2-RF7459A_Product_Data_Sheet.pdf,cellular-3g4g5g,Package,"42-pin module, 7.0mm x 5.0mm x 0.915mm",needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
S55643-51Q,S55643-51Q.pdf,cellular-3g4g5g,Supported bands,NR: n1/2/3/5/7/8/12/13/14/20/25/26/28/30/34/38/39/40/41/66/71; LTE: B1/2/3/4/5/6/7/8/9/10/12/13/14/17/18/20/25/26/28/30/34/38/39/40/41/44/66/68/71,needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
S55643-51Q,S55643-51Q.pdf,cellular-3g4g5g,Bandwidth Capability,NR/LTE up to 100MHz (Single carrier & Intra-band CA),needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
S55643-51Q,S55643-51Q.pdf,cellular-3g4g5g,Maximum Linear Output Power,PC2 (n41): 31dBm; PC3 (Other bands): 29dBm,needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
S55643-51Q,S55643-51Q.pdf,cellular-3g4g5g,ACLR / EVM Condition,"NR ACLR: -33dBc (Max), EVM: 1.5%~5% (Modulation dependent)",needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
S55643-51Q,S55643-51Q.pdf,cellular-3g4g5g,RFFE bus,"MIPI RFFE 2.1 Compliant, up to 52MHz",needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
S55643-51Q,S55643-51Q.pdf,cellular-3g4g5g,Current Consumption,n41 HPUE: 930mA (Typ) @ 31dBm,needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
S55643-51Q,S55643-51Q.pdf,cellular-3g4g5g,VCC / Supply,VBATT: 3.0V-5.0V; VCC (APT): 0.5V-4.8V,needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
S55643-51Q,S55643-51Q.pdf,cellular-3g4g5g,Package,"4.0mm x 6.8mm x 0.746mm, 42-pad LGA",needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
S55643-51Q,S55643-51Q.pdf,cellular-3g4g5g,Supported bands,NR: n1/2/3/5/7/8/12/13/14/20/25/26/28/30/34/38/39/40/41/66/71; LTE: B1/2/3/4/5/6/7/8/9/10/12/13/14/17/18/20/25/26/28/30/34/38/39/40/41/44/66/68/71,needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
S55643-51Q,S55643-51Q.pdf,cellular-3g4g5g,Bandwidth Capability,NR/LTE up to 100MHz (Single carrier & Intra-band CA),needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
S55643-51Q,S55643-51Q.pdf,cellular-3g4g5g,Maximum Linear Output Power,PC2 (n41): 31dBm; PC3 (Other bands): 29dBm,needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
W25Q128FV,W25Q128FVSIG.pdf,serial-flash,Technology / Memory Type,Serial Flash (NOR),confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,5,
W25Q128FV,W25Q128FVSIG.pdf,serial-flash,Memory Size / Density,128M-bit (16M-byte),confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,5,
W25Q128FV,W25Q128FVSIG.pdf,serial-flash,Interface / I/O Mode,"SPI, Dual SPI, Quad SPI, QPI",confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,5,
W25Q128FV,W25Q128FVSIG.pdf,serial-flash,Max Clock Frequency,104MHz,confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,5,
W25Q128FV,W25Q128FVSIG.pdf,serial-flash,Supply Voltage,2.7V to 3.6V,confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,80,
W25Q128FV,W25Q128FVSIG.pdf,serial-flash,Active / Power-Down Current,4mA (typ) / 1μA (typ),confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,5,
W25Q128FV,W25Q128FVSIG.pdf,serial-flash,Page / Sector / Block Architecture,256B / 4KB / 64KB,confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,5,
W25Q128FV,W25Q128FVSIG.pdf,serial-flash,Program / Erase Time,0.7ms (typ) / 45ms (typ),confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,85,
W25Q128FV,W25Q128FVSIG.pdf,serial-flash,Operating Temperature,-40°C to +85°C,confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,80,
W25Q128FV,W25Q128FVSIG.pdf,serial-flash,引脚复用配置,/HOLD 与 /RESET 复用,confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,10,
W25Q128FV,W25Q128FVSIG.pdf,serial-flash,上电时序延迟,tPUW 写入禁止期,confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,81,